City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,bure,10.7,37.0667,13.0,95,96,1.11,ET,1698722072
228,westport,41.1415,-73.3579,11.29,80,100,3.6,US,1698721935
229,ovalle,-30.5983,-71.2003,17.23,55,86,0.82,CL,1698722073
230,tecozautla,20.5333,-99.6333,14.79,84,12,3.44,MX,1698722073
231,grand falls-windsor,48.9332,-55.6649,0.84,88,98,1.04,CA,1698722073
232,margate,51.3813,1.3862,8.16,96,7,3.36,GB,1698721274
233,quthing,-30.4,27.7003,7.9,63,100,1.11,LS,1698722073
234,kapuskasing,49.4169,-82.4331,-5.95,93,0,3.09,CA,1698721494
235,miyaly,48.8844,53.7836,3.66,81,94,3.78,KZ,1698722074
236,lagoa,39.05,-27.9833,18.98,82,17,12.09,PT,1698722074
237,kirishi,59.4471,32.0205,-3.87,99,49,0.37,RU,1698722074
238,kayangel,8.0823,134.7173,28.78,74,11,2.93,PW,1698722074
239,lompoc,34.6391,-120.4579,16.08,89,0,1.54,US,1698721239
240,al wafrah,28.6392,47.9306,21.93,60,35,1.75,KW,1698722074
241,borogontsy,62.6683,131.1683,-11.27,87,100,3.6,RU,1698722075
242,berbera,10.4396,45.0143,27.85,75,23,3.86,SO,1698722075
243,uturoa,-16.7333,-151.4333,26.41,80,10,8.07,PF,1698721496
244,qarauyl,48.9451,79.255,5.98,89,100,4.78,KZ,1698722076
245,kozhikode,11.25,75.7667,24.65,85,100,1.16,IN,1698722076
246,cockburn town,21.4612,-71.1419,28.7,80,97,5.89,TC,1698722076
247,katabu,-4.9333,122.5167,34.81,37,16,1.77,ID,1698722076
248,port saint john's,-31.6229,29.5448,14.86,87,100,3.06,ZA,1698721491
249,solnechnyy,50.7214,136.6319,0.57,51,73,2.28,RU,1698722077
250,juneau,58.3019,-134.4197,4.0,100,100,0.0,US,1698722077
251,akureyri,65.6835,-18.0878,-8.04,93,35,0.0,IS,1698721440
252,kone,-21.0595,164.8658,26.26,49,26,4.01,NC,1698721508
253,qarqaraly,49.4058,75.4742,3.67,91,100,4.45,KZ,1698722078
254,aykhal,66.0,111.5,-21.0,99,99,3.32,RU,1698721434
255,tolanaro,-25.0319,46.9987,24.04,88,75,0.0,MG,1698721478
256,newman,37.3138,-121.0208,16.27,38,5,0.89,US,1698721395
257,mo i rana,66.3128,14.1428,-8.15,87,2,2.57,NO,1698722078
258,skidel',53.5904,24.2478,7.08,100,86,2.0,BY,1698722078
259,dryden,49.7833,-92.7503,-3.84,93,75,2.06,CA,1698722079
260,kaga bandoro,6.9896,19.1874,22.05,81,97,1.13,CF,1698722079
261,corn island,12.1694,-83.0418,27.96,75,94,3.04,NI,1698722079
262,romorantin-lanthenay,47.4167,1.8333,10.81,93,75,3.6,FR,1698722079
263,tralee,52.2704,-9.7026,9.93,88,85,2.37,IE,1698722021
264,barra da estiva,-13.6261,-41.3269,20.96,45,98,1.87,BR,1698722079
265,tindouf,27.6711,-8.1474,21.25,30,0,2.57,DZ,1698722079
266,kingston,17.997,-76.7936,27.53,87,75,2.57,JM,1698721487
267,veydelevka,50.1521,38.4492,10.32,82,91,5.13,RU,1698722079
268,chonchi,-42.6128,-73.8092,2.84,96,4,0.58,CL,1698722019
269,pandan,14.0453,124.1694,27.44,87,100,7.03,PH,1698721546
270,saldanha,-33.0117,17.9442,16.03,68,2,4.59,ZA,1698722080
271,tazacorte,28.629,-17.9293,22.54,91,0,3.13,ES,1698722080
272,kijang,35.2442,129.2139,21.85,40,0,2.41,KR,1698722080
273,florida city,25.4479,-80.4792,26.12,90,0,1.91,US,1698722080
274,montrose,38.4166,-108.2673,-6.33,38,0,0.92,US,1698722080
275,natal,-5.795,-35.2094,24.36,83,40,1.54,BR,1698721887
276,kibondo,-3.5864,30.7203,17.04,77,100,0.96,TZ,1698722081
277,taltal,-25.4,-70.4833,17.83,72,9,1.47,CL,1698721492
278,manokwari,-0.8667,134.0833,27.62,77,98,2.83,ID,1698722066
279,paracuru,-3.41,-39.0306,26.73,75,46,4.11,BR,1698721507
280,waspan,14.7419,-83.9717,23.61,97,81,0.63,NI,1698722081
281,kimbe,-5.5502,150.1429,26.33,88,100,1.32,PG,1698722081
282,yeppoon,-23.1333,150.7333,32.88,53,0,6.8,AU,1698722078
283,sola,-13.8833,167.55,29.37,84,100,1.03,VU,1698722010
284,nhamunda,-2.1861,-56.7131,26.28,64,100,1.19,BR,1698722081
285,ambon,-3.6954,128.1814,31.08,70,40,2.57,ID,1698721845
286,happy valley-goose bay,53.3168,-60.3315,-2.83,59,20,5.14,CA,1698721540
287,paita,-5.0892,-81.1144,20.17,85,43,5.87,PE,1698721545
288,carutapera,-1.195,-46.02,26.05,82,55,2.98,BR,1698722082
289,gebeit,21.0667,36.3167,22.21,80,0,2.34,SD,1698722082
290,bratsk,56.1325,101.6142,-8.73,62,41,3.19,RU,1698722082
291,tianshui,34.5439,105.6897,15.62,60,14,2.51,CN,1698722082
292,mareeba,-17.0,145.4333,31.91,40,67,3.93,AU,1698722082
293,patterson,37.4716,-121.1297,17.66,56,6,2.07,US,1698722010
294,jalqani,12.4486,34.2186,23.77,83,86,0.81,SD,1698722082
295,nchelenge,-9.3451,28.734,23.58,72,100,2.31,ZM,1698722082
296,afaahiti,-17.75,-149.2833,26.93,82,39,8.74,PF,1698721497
297,palmer,42.1584,-72.3287,8.38,81,99,0.45,US,1698721525
298,wynyard,-41.0,145.7167,14.43,45,77,6.12,AU,1698722083
299,cabo san lucas,22.8909,-109.9124,26.53,80,37,0.89,MX,1698721328
300,chimbarongo,-34.7,-71.05,11.51,89,100,0.88,CL,1698722083
301,klyuchi,52.2667,79.1667,5.76,96,100,2.51,RU,1698722083
302,saint-philippe,-21.3585,55.7679,24.77,77,16,4.3,RE,1698721489
303,pribram,49.6899,14.0104,12.99,100,100,7.03,CZ,1698722083
304,xai-xai,-25.0519,33.6442,17.58,85,100,4.35,MZ,1698722083
305,hammerfest,70.6634,23.6821,2.25,80,40,5.14,NO,1698722084
306,tsiombe,-25.3,45.4833,21.53,82,43,4.21,MG,1698721544
307,mapleton,40.1302,-111.5785,3.95,54,0,3.09,US,1698722084
308,ocean shores,46.9737,-124.1563,10.01,78,0,3.09,US,1698721841
309,boguchany,58.3814,97.4531,-11.19,87,6,1.79,RU,1698722061
310,marsa alam,25.0757,34.8918,25.41,67,0,2.16,EG,1698722084
311,ruston,32.5232,-92.6379,6.99,100,20,1.54,US,1698721997
312,guerrero negro,27.9769,-114.0611,21.79,44,0,2.65,MX,1698722084
313,micheweni,-4.9667,39.8333,25.01,87,99,3.22,TZ,1698722085
314,constantia,44.1833,28.65,11.5,83,2,3.35,RO,1698722018
315,chake chake,-5.2459,39.7666,24.08,90,99,2.89,TZ,1698722085
